neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price
Wedding Zentrum,Private room in condo,Private room,-1.0521463012737582,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,586.7
Tiergarten Süd,Entire rental unit,Entire home/apt,4.2898013734464016,1.7310379495469592,3.019422498017114,5.822449592807815,930.0
Frankfurter Allee Nord,Entire rental unit,Entire home/apt,2.0639898423130014,0.6983647374195179,0.73012556504314,2.3164756777553115,475.0
Tempelhofer Vorstadt,Entire condo,Entire home/apt,1.173665229859642,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,455.0
Prenzlauer Berg Südwest,Room in hotel,Private room,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,1001.61
Bohnsdorf,Entire home,Entire home/apt,1.173665229859642,-0.33430847470792335,0.73012556504314,0.5634887202290602,385.0
Prenzlauer Berg Nord,Entire rental unit,Entire home/apt,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,135.0
Karl-Marx-Allee-Süd,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,385.0
Neu Lichtenberg,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,220.0
Otto-Suhr-Allee,Private room in rental unit,Private room,-0.6069839950470781,-1.3669816868353646,-0.414522901443847,-0.6051692514551075,155.0
Schloß Charlottenburg,Private room in rental unit,Private room,-0.6069839950470781,1.7310379495469592,-0.414522901443847,-0.6051692514551075,105.0
Prenzlauer Berg Süd,Entire loft,Entire home/apt,-0.6069839950470781,-0.33430847470792335,-1.559171367930834,-0.6051692514551075,195.0
Regierungsviertel,Entire rental unit,Entire home/apt,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,180.0
Albrechtstr.,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,0.73012556504314,-0.020840265613023688,240.0
Karl-Marx-Allee-Süd,Entire rental unit,Entire home/apt,-0.1618216888203981,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,280.0
Pankow Süd,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,0.73012556504314,0.5634887202290602,1776.61
Otto-Suhr-Allee,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,310.0
Alexanderplatz,Room in hotel,Hotel room,1.173665229859642,1.7310379495469592,0.73012556504314,-0.020840265613023688,590.0
Prenzlauer Berg Süd,Entire rental unit,Entire home/apt,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,190.0
Neuköllner Mitte/Zentrum,Private room in rental unit,Private room,-1.0521463012737582,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,90.0
Tempelhofer Vorstadt,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,0.73012556504314,-0.020840265613023688,305.0
Schönholz/Wilhelmsruh/Rosenthal,Entire rental unit,Entire home/apt,-0.1618216888203981,-0.33430847470792335,-0.414522901443847,-0.020840265613023688,180.0
Prenzlauer Berg Südwest,Entire loft,Entire home/apt,0.28334061740628186,-0.33430847470792335,0.73012556504314,-0.020840265613023688,390.0
Brunnenstr. Süd,Entire rental unit,Entire home/apt,1.173665229859642,-0.33430847470792335,1.874774031530127,0.5634887202290602,660.0
Südliche Friedrichstadt,Private room in rental unit,Private room,-0.6069839950470781,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,135.0
Schöneberg-Nord,Private room in bed and breakfast,Private room,-0.1618216888203981,2.7637111616744003,-0.414522901443847,-0.020840265613023688,225.0
nördliche Luisenstadt,Entire loft,Entire home/apt,0.28334061740628186,1.7310379495469592,1.874774031530127,1.1478177060711439,375.0
Prenzlauer Berg Süd,Entire rental unit,Entire home/apt,0.28334061740628186,-0.33430847470792335,-0.414522901443847,-0.6051692514551075,375.0
nördliche Luisenstadt,Entire loft,Entire home/apt,0.28334061740628186,-0.33430847470792335,-0.414522901443847,1.1478177060711439,360.0
